video_title,channel,author,text,likes,replies,primary,all,length,published_at
나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@itdakku,저는 50대 입니다 평생친구라 생각 했는데 서로 상처만 주고 연락 안합니다 사회서 만난 친구도 가끔 만나 안부나 묻는 정도 입니다 친구가 꼭 필요한건 아닙니다 혼자 즐길거리가 너무 많고 즐겁습니다 혼자 여행도 좋습니다 사람을 만나면 고갈되는 에너지가 혼자 있으면 채워 짐을 느낍니다 사람이 싫은게 아니라 혼자가 더 좋을 뿐 입니다,2216,89,자기서사,자기서사|자기참조,184,2023-09-19
"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@4숭이,그냥 남에게 무슨 기대를 하지 마세요. 남에게 인정 받을려고 애쓰지 마세요. 그럼 마음이 편합니다. 그렇다고 막대하라는게 아닙니다. 내 내면의 목소리네 기기울이고 그것만 생각하면 되요. 비교하고 남에게 잘보일려고 하는 마음이 크면 인생이 불행해 집니다,2175,16,자기서사,위안|정체성확인|자기서사|자기참조,140,2023-10-27
혼자가 편한 사람 특징,픽고 PICKGO,@user-yhidesjcd-uncni,그냥 그 친구들이랑 정신수준이 안맞는거임. 뭔 말을 하면 딱 감정소모 될만한 얘기들만 하고앉아있고.. 끝도없이 배려없이 유쾌한얘기도 아닌 주제로 노가리만 까니까 피로해서 말 섞기싫은거임. 대화가 아닌 의미없는 수준낮은 수다라서.. ㅋㅋ 발전적이고 긍정적이고 상대방 배려하면서 대화가 가능한 사람만나면 안저럼. 기빨리는 수다가 아닌 상호존중 대화가 가능한 사람 만나면 혼자있고싶단 생각 안듦. 진짜임. 그런사람들과 대화하면 유쾌하고 즐겁거든.. 걍 정신연령이 안맞는거,2110,21,자기참조,자기참조,260,2023-04-22
똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@크쿼,대인관계 활발하면 지갑이 활발해짐😢,2108,51,기타,,20,2024-12-06
혼자가 더 편한 회피형 특징,놀면서 배우는 심리학,@성이름-j7r2d,나네. 도와달라고 절대 말못함. 남한테 부담주는거 정말 불편함. 근데 남은 잘 도와줌.,2094,42,자기참조,자기참조,48,2024-07-31
혼자가 편한 사람 특징,픽고 PICKGO,@가트몬-e3v,혼자가 된다는 것 = 힘든 일이 생겨도 혼자 감당한다는 것 혼자인게 좋은건 맞으나 가끔 혼자 해결하기 힘든 일이 생길때도 종종 있음 그럴때는 또 생각들지 아.. 이럴땐 진짜 너무 힘들구나 어디 말 할 곳도 없고 이럼,2091,26,자기참조,자기참조,120,2023-04-23
나이들수록 오히려 혼자가 되면 편합니다. 친구 없어도 잘사는 사람의 특징 (최명기 원장 1부),지식인사이드,@behappy724,친구 없는 사람 손... ✋,2079,125,기타,,15,2023-10-11
"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@오드리될뻔-x6f,혼자 있는게 가장 편안합니다,2062,17,기타,,15,2025-12-22
점점 혼자가 편한 이유,픽고 PICKGO,@user-dg1xn2nv3n,"혼자 영화보는건 진짜 편해.. 내가 보고 싶은 영화, 시간대, 간식거리(팝콘, 음료) 독단적으로 할 수 있어서 😅",1996,6,자기참조,자기참조,64,2023-12-04
혼자가 편한 사람 특징,픽고 PICKGO,@노오란바나나,"오히려 저런 내향적인 타입의 사람들이 타인에 대해 너무 신경 써서 인간관계가 지치는 거 ㅎㅎ 자칭 외향적인 사람들이 지 편한대로 지껄이며 남들에게 상처줄 때, (찐 외향적인 사람들은 말조심하면서 친화적인 사람들임) 내향적인 사람들은 조심하고 또 조심하다보니 건조한 반응만 보이는 거지 이걸 '영혼 없네' 해버리는 ㅎㅎ",1980,13,자기참조,자기참조,177,2023-04-30
점점 혼자가 편한 이유,픽고 PICKGO,@젤리-v8m,혼자가 편해진 사람은...사람한테 상처받은게 많아서 더 상처받고 싶지 않아서 혼자가 되버린 사람도 많음.,1954,25,기타,,58,2024-02-20
똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@finerist,예전에 아는지인은 대인관계가 많아서 자기가 죽을때 장례식장에 올 사람 많다고 자랑하던데요. 난 그딴거 필요없습니다. 내가 죽었을때 장례식장에 단 한사람도 안오면 어때서요. 상관없습니다.,1949,123,자기참조,자기참조,103,2024-12-08
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@김건희-o2h5g,사람한테 질리면 혼자가 외로운게 아니라 자유롭고 행복함을 느낀다,1938,34,위안,위안,35,2024-04-24
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@봄날-u6e,전 결혼식도 하기 싫었음..간단히 가족끼리하던지~ 생일도 거창한거보다 가족끼리 케익이나 먹고 끝. 내 장례식도 사람오지말고 그냥 화장하고 수목장 끝했으면 좋겠음,1908,59,자기서사,자기서사|자기참조,89,2026-04-03
가족과 사는 게 즐겁다고? '행복한 사람'은 절대 무작정 결혼하지 않습니다! | 김경일 심리학과 교수 1부,"꿈을 찾는 사람들 강연,강의,강사,꿈찾사",@gmvisck,혼자 사는게 더 행복하다 스트레스 덜받고 간섭질 안당하고.....4대가 한집에 살았는데...지긋지긋하고 가족이지만 진짜 죽여버리고 싶더라...가까워도 거리를 지켜야 행복한거다..,1895,92,자기서사,자기서사|자기참조,99,2023-04-12
혼자 있는게 더 행복한 사람의 특징,놀면서 배우는 심리학,@jaijung4181,혼자 있는 게 행복해. 그래도 가끔은 사람을 구경하고 싶긴 해.,1821,30,기타,,35,2024-05-08
